"","2004"
"AUS",70581
"AUT",106200
"BEL",93969
"BGR",4275
"BRA",323568
"CAN",291389
"CHN",87796
"CYP",2158
"CZE",81688
"DEU",1088672
"DNK",49166
"ESP",869583
"EST",3292
"FIN",56042
"FRA",692004
"GBR",155020
"GRC",15203
"HUN",23712
"IND",5169
"IRL",6959
"ITA",577141
"JPN",121475
"LTU",2610
"LUX",20827
"LVA",1341
"MEX",360793
"MLT",4111
"NLD",49166
"POL",82290
"PRT",170826
"ROM",5264
"RUS",84470
"SVK",13394
"SVN",42052
"SWE",32648
"USA",1259320
"ZRoW",609721
