"","V1"
"AUS",75740.4089977757
"AUT",95862.1374624879
"BEL",82547.33570777
"BGR",5530.52361154793
"BRA",285421.755403289
"CAN",233296.994504143
"CHN",145174.099301634
"CYP",2996.56630330923
"CZE",57399.2893789677
"DEU",881788.614957573
"DNK",46692.5076738916
"ESP",766649.492761394
"EST",3162.99814051476
"FIN",47270.9238550895
"FRA",652511.728500228
"GBR",235315.548609683
"GRC",28174.8926519884
"HUN",26712.9021296275
"IND",20516.6279935717
"IRL",14242.3406189889
"ITA",541994.975327285
"JPN",167893.059264392
"LTU",3955.69522404629
"LUX",10463.0762534315
"LVA",2376.48849217186
"MEX",308854.917584237
"MLT",3114.76773663381
"NLD",72926.7158019435
"POL",78933.8484715224
"PRT",155133.388579236
"ROM",11146.1776896425
"RUS",80333.9817935455
"SVK",13463.159341267
"SVN",28945.1573959626
"SWE",43107.3876305389
"USA",1463274.24645425
"ZRoW",770970.268396416
