"","AUS","AUT","BEL","BGR","BRA","CAN","CHN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HUN","IND","IRL","ITA","JPN","LTU","LUX","LVA","MEX","MLT","NLD","POL","PRT","ROM","RUS","SVK","SVN","SWE","USA","ZRoW"
"1",58240.0798928697,33.4416035781103,61.2866553661613,15.3434421541132,78.6302822477757,328.477280574562,1489.48350795593,2.56046488716656,16.6997596061682,350.735844452297,32.9750363295616,115.545520068009,1.78901705082763,47.7234208685355,210.389278995342,729.935043480919,34.4624089638717,11.9201620914173,385.954211791553,86.1863615630506,212.315813565345,1885.83229966021,1.73240917732534,3.7373892473355,1.33730152665274,63.3224813602339,1.08743174366306,101.119332423897,22.3577025070659,14.1914644439763,8.95399557364503,47.0962024124751,5.49589283884222,3.77606911385634,62.8642252279237,1744.40271232604,4127.75808195638
"2",365.407820440175,66760.793016839,518.169293718594,123.661180410225,173.993978314159,452.416196972516,1108.53220025446,28.0567451428258,758.254480355685,9326.34709960775,295.971054677636,1097.882125156,24.3308588046772,233.693218346785,1672.82792046852,2219.1008868837,280.249663849066,1249.4558791329,246.034416406024,160.03716687669,3374.86836463751,775.779760109485,49.7364921627978,59.6673940189982,49.0584721065211,203.079360299696,18.3263780745393,645.503199438587,816.233750398296,170.032267176856,334.47528282424,567.2856603286,323.120734529797,532.722538661332,382.842946836771,3568.12641684212,7233.92577889646
"3",296.366667710152,490.442413751497,48398.304764904,46.2534402408125,224.502916045186,350.469470271852,1006.37412258022,40.9713731679142,250.272428524031,6489.38526439786,567.504706741499,1810.78122224165,28.3436185053118,400.637472521957,5692.96512216547,4995.10352669082,530.731004693833,241.955337918675,641.174255469543,274.483292641429,3165.82403595729,749.476679075252,45.2139225822325,766.122923179073,27.4469934234263,239.31444342709,13.206990595923,4106.07519451668,446.428897504828,367.714818480735,106.813794420427,425.557421863144,83.0437959107993,71.4219368713724,794.748279422642,3940.19991062246,5843.36754096291
"4",6.07886992068497,35.1703383309188,53.8349147069446,2638.79561556167,9.93507614360869,13.8852987720706,26.6707729613953,3.58777678118261,14.6734457677003,178.629141096125,5.77023105387856,50.503384130428,1.77465890391342,6.6884576439093,80.0762548581196,67.4353923760438,99.4431325144747,11.8012060248858,6.7938081745407,6.19811138673433,174.7878986102,18.2399659763155,3.42118268206452,3.22486130747689,2.5400325143414,7.34245081787543,0.860808007745713,23.5164090899204,20.3411674197895,4.09089014585986,32.8788840511773,85.5523417114241,4.57274914162712,4.78913880699173,9.60775326400589,107.282779117437,454.204800226521
"5",293.849928363243,325.168045578449,579.133658044713,99.4282995926615,271960.803086873,1119.11378332095,3116.94115957089,19.404887059555,113.18264356084,3500.49333715248,168.042458593522,1091.41643566351,10.6209257190307,133.325800874344,1783.59447443231,1997.70305990055,218.533172166448,80.6717751897079,380.458450518068,158.857286839984,1823.92517988165,1773.78389883507,11.3401876265774,24.4987016998778,9.10704672437317,2024.47572584632,11.0881667453454,1114.85736593212,286.073693535004,607.616587636516,124.085835485843,673.076815864215,36.385653328045,31.569884745374,769.556016935952,11514.0095166852,15581.8070534788
"6",759.528687673482,277.926317492206,366.819584198384,25.7709024265567,651.736259997413,196806.912529024,2690.40531387365,13.1696234291677,94.571362509583,1947.85473505434,191.034132684289,604.770218891335,15.3447964229205,153.43006118231,1181.92575199279,3829.06137590898,116.052426043241,64.7032731192538,468.016743993791,286.188453265882,826.59484337471,3001.94551798252,9.89791711474829,47.7238689221364,8.05697397652549,1840.72216085501,3.59281896279836,682.381644938694,161.052586651189,125.465645123675,77.2984528176723,243.86685319051,45.2681820281662,27.4030707121244,296.515131984956,65321.8835072767,8124.10827490399
"7",587.24289972877,96.5213455339588,165.004324504061,15.9416532619288,163.81445173387,662.326134656525,63590.9690544989,8.059012735567,84.8953908828582,1240.80103390898,99.9429125509942,357.196636113648,14.3667753569757,73.1248047969082,658.341375942903,976.568407373606,71.9719298953649,73.4081648614655,353.529795349674,97.8194371826644,523.510045697274,2934.37862729847,8.90424544137235,13.8762032086539,4.28240272182442,481.490838932311,3.80400423458325,407.627859890804,114.904442673438,37.4966780188446,35.8566857212034,216.203404059977,24.4885397582075,8.34540306302573,115.647316020939,6819.07673993735,6654.26102245209
"8",1.69451173432085,3.81816645891698,6.4712316975673,2.17548353345193,0.870713374289012,1.48498035090443,5.96231464701978,1751.92884329275,2.98033303899253,29.1657075769497,1.44503127600223,3.99642918781137,0.313526818644703,1.88364112397308,7.49531639218569,45.916629503697,30.6600462907137,1.67051457009931,1.6215495201446,1.19514103671792,12.8141620442565,7.44478802276737,2.75174969007296,0.606599470795467,0.788139198956237,1.2138990726761,0.400858948979915,3.85034450042701,4.2805741152468,0.86602081201935,1.89204786501028,28.8759269515497,2.13037446540094,1.37207488984752,10.175395762919,27.8949272961062,147.892005467817
"9",152.488494211854,1908.21725943863,711.013896924217,144.915483202494,124.545279580378,247.767993921736,677.817287429752,12.2473298993381,43702.4241665728,10805.0922891144,241.153867221878,1018.77787932435,49.3385864076383,242.381597109196,1934.97387061726,2101.56999339375,211.392156492084,818.066535047877,159.10506820887,146.696548985347,1715.3381804068,421.427032551402,85.3578221248066,45.6251738261141,58.7166807661458,173.271735533224,7.75308395624953,817.607680951021,1681.99917019506,144.670830381991,368.881502463235,784.355174489915,1607.33507690491,200.456308171491,375.412061585532,2240.93470728712,5548.87219530102
"10",3309.76834842624,14320.0764642802,10508.8598112828,797.8349863757,3098.0900883714,4045.63948638534,16990.7027723145,221.562315847491,5753.68925631282,740625.788925331,4754.65997567812,17150.5326505638,260.130263942216,2689.2994183415,29453.4630360479,27071.9458331488,3422.36585933766,5021.78362102352,2325.0211646323,1891.48774819313,24559.4292352984,9327.55266711265,601.166350254964,1154.43435585657,383.03627424702,3495.95886191829,159.441301307295,13560.301480682,7291.14760520975,3246.27068646736,1745.84528268465,5825.34749427907,1917.46118282158,1143.28003980051,6145.55757348739,41839.562074156,72563.5055085792
