"25,650",0,0,"12,275","2,953","2,417"
173,0,0,0,214,151
"13,397",0,0,132,593,"1,201"
0,0,0,948,603,"45,665"
"89,678",0,"1,232",0,850,"32,955"
"10,723",0,0,172,"1,377","19,936"
408,0,0,0,93,"4,600"
406,0,0,0,128,"5,846"
7,0,0,0,-1,21
"10,641",0,0,0,300,"14,210"
882,0,0,0,876,"11,971"
"5,245",0,0,0,331,"1,819"
"2,587",0,0,107,542,"13,551"
"1,731",0,0,9,115,988
177,0,0,0,154,"9,288"
169,0,0,317,-2,"2,300"
"4,884",0,0,"1,705",295,"9,864"
"1,798",0,0,874,210,"6,119"
0,0,0,"4,168",130,"2,193"
"12,937",0,0,"3,886",71,"5,600"
5,0,0,708,6,"1,298"
"1,401",0,0,787,220,"6,354"
0,0,0,0,0,0
"12,693",0,0,0,0,0
623,0,9,0,8,49
0,0,0,0,0,0
0,0,0,"230,415","2,941",293
"17,458",0,31,"1,124",264,0
"24,680",0,304,"5,412","1,230",0
"14,488",0,178,"3,177",722,0
"18,605",0,34,"1,218",286,178
"5,232",0,12,443,104,532
"18,481",0,5,168,39,"1,248"
"2,926",0,6,231,54,329
619,0,0,0,0,124
"43,707",0,0,0,0,"3,506"
721,0,0,27,1,448
425,0,10,682,71,309
"18,438",0,0,0,0,900
38,0,0,307,0,213
"12,962",0,858,0,0,75
"2,663",0,0,0,0,20
0,0,0,0,0,0
"26,116",0,0,0,0,205
130,0,0,"2,513",0,"1,720"
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
"1,280",0,0,0,0,834
"1,407",0,"48,261",36,0,430
"18,685",0,"23,335",0,0,86
"11,936",0,"5,865",0,0,229
"16,031",0,0,0,0,528
0,0,0,0,0,0
0,0,0,0,0,0
