"4,529",61,459,0,"49,870","1,195",130,0,0,0,563,634,"4,688",28,12,5,0,0,1,0,0,57,0,0,0,0,136,0,6,3,1,12,89,0,0,"5,474",0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,96,"1,119",19,0,0
3,0,2,5,57,53,"2,423",412,0,6,26,40,3,24,19,1,0,0,1,0,3,54,0,0,0,0,"3,645",6,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,364,0,"5,421",0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0
0,0,0,"10,977",154,8,4,0,0,"22,523","6,098",404,582,"4,379","5,845","2,421",12,115,5,11,8,107,0,"4,561",0,0,"14,361",1,9,5,0,0,0,13,0,1,0,0,0,0,0,0,0,2,156,0,0,0,0,4,0,0,0,0,0,0
"3,837",2,824,105,"23,744",444,58,24,4,44,319,182,10,15,21,14,19,14,6,28,3,23,0,19,1,0,101,27,80,47,3,484,415,32,1,"12,896",8,3,9,4,88,38,0,11,22,0,0,0,0,25,47,61,"1,881",83,0,0
22,2,2,13,9,"1,877",7,6,0,0,5,11,14,2,2,18,1,2,0,7,1,51,0,4,0,0,96,30,53,31,0,1,0,3,0,8,1,0,1,0,2,0,0,3,7,0,0,0,0,1,44,27,10,44,0,0
15,0,1,2,5,1,"1,328",1,0,1,15,2,11,80,194,12,4,4,0,21,5,599,0,0,0,0,"7,518",5,127,74,0,0,0,1,0,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,6,14,0,27,0,0
27,1,0,127,523,53,9,"4,600",147,1,22,35,28,39,21,4,164,43,2,19,0,50,0,3,0,0,463,273,"1,201",700,6,2,2,4,1,15,958,7,39,11,295,94,0,37,78,0,0,0,0,100,"1,500","1,857",21,38,0,0
1,0,0,3,2,2,1,6,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,10,28,16,1,1,0,0,0,0,194,0,1,0,125,0,0,1,10,0,0,0,0,8,60,529,0,2,0,0
228,71,371,"1,073",295,285,142,298,2,506,378,107,93,305,297,130,33,56,12,147,13,85,0,"2,571",1,0,"7,742",680,"2,959","1,725","6,131","2,013","4,415",95,11,138,7,19,12,11,15,3,0,55,65,0,0,0,0,370,473,244,78,52,0,0
794,1,3,593,324,"1,307",410,554,64,26,"3,544",727,"2,798",477,604,611,460,358,56,169,10,321,0,16,12,0,"2,713",41,120,70,5,4,0,1,0,16,95,4,0,3,37,15,0,17,29,0,0,0,0,32,203,589,158,170,0,0
108,2,8,8,112,20,1,0,0,2,98,"1,924",61,5,5,3,25,6,3,4,0,4,0,0,0,0,41,69,50,29,24,29,3,2,0,36,0,0,2,0,5,0,0,3,18,0,0,0,0,19,172,148,"1,542",303,0,0
65,1,3,8,14,122,38,26,0,2,40,28,"1,234",13,5,27,233,154,23,269,79,189,0,1,0,0,"3,911",231,640,373,341,19,178,28,0,29,7,2,3,1,130,13,0,38,28,0,0,0,0,25,97,78,30,60,0,0
1,0,0,0,0,5,21,0,0,0,1,3,18,463,51,16,16,8,1,17,0,28,0,0,0,0,"14,473",2,5,3,65,9,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,11,81,143,42,72,0,0
0,0,0,9,25,42,16,64,8,18,25,1,18,206,744,"1,300",33,61,38,148,12,131,0,0,0,0,"9,152",0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,2,2,40,0,4,0,0
85,3,2,12,35,49,59,1,0,24,11,0,36,155,139,255,37,50,12,128,16,181,0,12,0,0,"13,798",193,351,205,48,16,0,0,0,25,4,3,14,13,197,8,0,19,11,0,0,0,0,19,38,39,20,113,0,0
0,0,0,30,0,0,0,0,0,1,1,24,0,4,21,169,"2,056",597,84,134,20,35,0,44,0,0,636,262,0,0,32,0,0,3,0,0,12,114,231,102,17,0,0,0,70,0,0,0,0,8,12,153,110,54,0,0
0,0,0,28,0,17,0,3,0,4,0,1,8,30,19,154,"1,341",991,136,258,101,61,0,52,0,0,966,238,72,42,87,0,1,5,0,0,1,1,7,3,0,0,0,16,7,0,0,0,0,12,79,148,31,73,0,0
76,14,3,575,48,82,58,92,2,59,42,5,39,52,65,57,280,409,"1,792",131,12,74,0,61,2,0,597,84,4,2,0,0,0,4,0,0,7,6,14,6,1,0,0,0,108,0,0,0,0,35,0,28,7,19,0,0
94,16,38,231,205,85,36,62,4,132,65,29,74,55,67,64,79,70,23,"5,225",0,50,0,40,1,0,"1,158",453,370,216,"1,275",31,71,24,18,154,14,3,17,12,158,14,0,36,42,0,0,0,0,157,0,38,21,29,0,0
0,0,7,2,0,1,0,0,0,0,0,0,0,0,1,14,2,0,0,0,79,0,0,0,0,0,0,0,0,0,0,22,332,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
9,1,3,40,40,18,3,8,1,13,5,20,4,2,4,4,11,11,1,2,0,64,0,7,0,0,144,18,76,44,10,63,54,1,0,12,12,7,27,7,38,9,0,10,18,0,0,0,0,33,30,201,146,138,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,22,162,522,546,148,350,19,148,319,74,301,489,350,502,335,369,110,197,14,246,0,"18,791",14,0,635,392,754,440,190,39,12,151,6,235,75,36,196,61,229,31,0,59,42,0,0,0,0,96,329,136,213,156,0,0
1,0,0,4,6,4,1,3,0,0,1,2,2,4,29,4,1,1,0,2,0,1,0,1,1,0,5,6,9,5,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,8,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,599",316,59,"2,921",224,32,5,2,19,178,8,1,1,479,173,19,1,0,1,1,0,12,0,63,2,0,"1,716",507,"2,330","1,359",281,323,8,911,41,107,65,37,796,10,555,50,0,"2,501",564,0,0,0,0,50,"1,514",729,54,51,0,0
542,64,71,607,"1,896",358,210,212,8,154,174,114,256,111,174,197,321,172,124,468,28,132,0,116,1,0,"3,492",548,922,537,"1,916",137,166,90,81,609,70,16,68,18,201,85,0,31,129,0,0,0,0,434,776,407,198,67,0,0
