"","2008"
"AUS",1608.9562793122
"AUT",953.900021933852
"BEL",3933.30272142558
"BGR",11.4280037571206
"BRA",1024.97633428525
"CAN",27917.1980608276
"CHN",30114.679276491
"CYP",25.7842860193013
"CZE",389.236912824412
"DEU",7649.02943850205
"DNK",963.078114544479
"ESP",10535.489466311
"EST",62.0450270715516
"FIN",1632.67856592665
"FRA",11244.435252585
"GBR",74308.2609478347
"GRC",349.690674819536
"HUN",478.345280858864
"IDN",576.870456148646
"IND",772.353184522129
"IRL",4935.06445710636
"ITA",10878.4938381922
"JPN",15124.8990819674
"KOR",2878.27006474798
"LTU",40.129017870341
"LUX",50.387947537027
"LVA",50.6418127227534
"MEX",71.8607027318864
"MLT",22.3644357307899
"NLD",4599.11873367093
"POL",2447.33202215504
"PRT",1392.87051604044
"ROM",237.347157006462
"RUS",2031.34559410894
"SVK",303.223054754298
"SVN",240.286348330053
"SWE",2450.39991981283
"TUR",1485.29673997251
"TWN",1206.0440135759
"USA",28144.1475720067
"ZRoW",13041.7890618563
