"","V1"
"AUS",1894.58411219166
"AUT",1056.68394078538
"BEL",3920.08683080739
"BGR",59.8058686470231
"BRA",1266.53563049923
"CAN",27450.5789754942
"CHN",20038.2105273735
"CYP",52.4805450555092
"CZE",421.024206479705
"DEU",9174.06063358009
"DNK",951.44816352834
"ESP",10290.3181805107
"EST",65.7258792253131
"FIN",1666.47807050339
"FRA",10854.1640834266
"GBR",72913.3484468641
"GRC",546.237972180264
"HUN",483.615524057558
"IDN",769.892951646301
"IND",1081.36821337678
"IRL",4666.06350529997
"ITA",11589.8561732979
"JPN",14800.7094234459
"KOR",2872.68997369326
"LTU",63.7637581305953
"LUX",81.4438947529008
"LVA",61.7637597262373
"MEX",455.304813852647
"MLT",26.1553021600493
"NLD",3979.0517519314
"POL",2507.56172169244
"PRT",1536.76520612807
"ROM",282.082038901658
"RUS",2683.20899228233
"SVK",315.927968092995
"SVN",221.21058742806
"SWE",2108.00277449691
"TUR",1598.00255226047
"TWN",1147.22433001343
"USA",33640.3003194953
"ZRoW",16589.3127945827
