"","AUS_sb01","AUT_sb01","BEL_sb01","BGR_sb01","BRA_sb01","CAN_sb01","CHN_sb01","CYP_sb01","CZE_sb01","DEU_sb01","DNK_sb01","ESP_sb01","EST_sb01","FIN_sb01","FRA_sb01","GBR_sb01","GRC_sb01","HUN_sb01","IDN_sb01","IND_sb01","IRL_sb01","ITA_sb01","JPN_sb01","KOR_sb01","LTU_sb01","LUX_sb01","LVA_sb01","MEX_sb01","NLD_sb01","POL_sb01","PRT_sb01","ROM_sb01","RUS_sb01","SVK_sb01","SVN_sb01","SWE_sb01","TUR_sb01","USA_sb01","ZRoW_sb01"
"1",0.000982702939218073,8.41651593677523e-07,1.84279467974181e-06,1.61614844770136e-06,8.27173140188161e-07,1.93541372387911e-06,1.11270283204838e-05,1.13931492426642e-06,1.27728586520485e-06,1.12972057055676e-06,1.27483221919134e-06,8.51138670702313e-07,1.1321994120627e-06,3.36908301193746e-06,8.20005150449596e-07,1.50178406252817e-06,7.51030474287441e-07,1.18583047899453e-06,6.26329104107464e-06,3.85290885380777e-06,3.07206554742018e-06,1.06859851452399e-06,7.25576085359132e-06,1.40036865816058e-05,5.68467758559735e-07,2.14978206992283e-06,5.03143078928771e-07,1.08749162700967e-06,1.43985352674173e-06,1.03254481449202e-06,6.64621282817945e-07,1.30503826820412e-06,6.27151667268959e-07,1.18756386491877e-06,9.69471373635438e-07,1.69825607125834e-06,1.17112602138914e-06,9.75972264855096e-07,5.84723196229328e-06
"2",1.7627811514013e-06,0.00214304882190814,1.12169908930815e-05,2.53156042013239e-05,1.66841142433613e-06,2.14534521528556e-06,4.73296667145595e-06,5.54024449294285e-06,3.40456246704223e-05,2.01832598443418e-05,5.97682579524093e-06,4.24571881845132e-06,7.78268932992862e-06,7.07768864815383e-06,3.97076962591063e-06,3.63923142718954e-06,5.49520308290464e-06,5.95483410839186e-05,1.92971980340161e-06,1.75961955947876e-06,7.23073140358974e-06,9.97383101788399e-06,1.15823274745892e-06,3.23000333799302e-06,7.28951156365984e-06,1.36555315183543e-05,1.28852928536106e-05,1.63074470285985e-06,5.60966335213136e-06,1.36064259778967e-05,4.09728556293754e-06,2.23502410439947e-05,3.12869162506291e-06,3.64192600298442e-05,7.1690894375685e-05,6.93574168904042e-06,4.74747652814457e-06,1.17079723685631e-06,8.18668376806531e-06
"3",1.82714279934635e-06,9.62576117734967e-06,0.00159214822361017,1.00669588306809e-05,3.24287192932621e-06,2.3812653625809e-06,3.85460650800937e-06,1.85049549809533e-05,1.34882071906758e-05,1.72420687685201e-05,1.7477799533428e-05,8.90560586818417e-06,1.00613464560021e-05,1.05318366132705e-05,1.72781057783659e-05,1.01720527572621e-05,1.19319121907831e-05,1.7613693517517e-05,3.90845628492244e-06,5.30435165913075e-06,1.40976671639071e-05,9.53310541728699e-06,9.76374629373939e-07,3.87596197067378e-06,8.91194893248094e-06,0.000107444875909729,9.26303742923453e-06,1.79047781524079e-06,3.73711996827476e-05,1.1986999539785e-05,1.00066154171075e-05,8.63279394272889e-06,3.58129627175965e-06,1.33473585871233e-05,1.25139335273993e-05,1.77744196362763e-05,5.49311671083695e-06,1.69796553997218e-06,7.21928816536165e-06
"4",3.65555861866101e-06,8.50923652194052e-05,0.000126167381744718,0.057332284407679,6.68927755635083e-06,7.40589748445233e-06,7.14098256428805e-06,0.000226397945354707,3.05054921919067e-05,3.22147547987392e-05,2.14558117378089e-05,1.46428091362339e-05,1.99778533143276e-05,1.15276916642635e-05,1.22421438792896e-05,1.70101126787602e-05,0.000233531754004505,5.74523117046591e-05,7.63386084205869e-06,5.94893991565451e-06,4.22033111009906e-05,2.82664570371171e-05,2.46165851845892e-06,9.28538447108581e-06,3.02157619617857e-05,2.77094490346507e-05,3.03449069705007e-05,2.78412672669415e-06,1.93131886469712e-05,3.60466170326478e-05,9.98788783968382e-06,0.000280378962759632,1.53809950060882e-05,5.04942950901327e-05,9.09562279354969e-05,1.70607115560115e-05,0.000122068358981779,2.95153402109404e-06,3.09731942407057e-05
"5",1.18895083557684e-05,2.98995297641746e-05,4.79594958864212e-05,3.12349882163303e-05,0.0110968349801705,2.28544264247681e-05,5.37059071423714e-05,2.40071577489852e-05,1.71370908735351e-05,4.21852638170514e-05,3.69597558233456e-05,2.42061867800644e-05,1.87430373331939e-05,2.66984022987993e-05,2.23055660978394e-05,1.71469952042032e-05,1.57459102670596e-05,1.63545228697704e-05,2.15728883221945e-05,1.01739829041225e-05,2.08386146816545e-05,2.81348137848322e-05,1.28264834902729e-05,3.56761209175417e-05,1.09171214705834e-05,2.75946662361688e-05,9.56471737672091e-06,3.24608984646348e-05,5.61555977714373e-05,1.556413613756e-05,8.61011279153488e-05,2.39762722607216e-05,9.18342519859382e-06,1.63840200849215e-05,3.09612707706669e-05,7.50967057269357e-05,1.58969384729418e-05,1.87086317463509e-05,6.15359336406483e-05
"6",5.26180060039769e-06,2.5370309522939e-06,6.80331540944669e-06,2.13263083634616e-06,5.2476445724962e-06,0.001178215354056,6.63807788064011e-06,2.37022466252333e-06,2.98340346694845e-06,3.05351444505457e-06,3.3487419965566e-06,2.18010661760673e-06,2.49912165284799e-06,5.90879707064483e-06,2.47330970555671e-06,6.19593486842895e-06,1.82671124791742e-06,3.38214994679145e-06,3.95546815910514e-06,2.58833463228261e-06,6.57937661542583e-06,1.95553145275648e-06,3.36622353428932e-06,5.74415345622115e-06,1.70541844102511e-06,1.34085927511675e-05,1.4969471181016e-06,8.70041981974336e-06,4.28685654898009e-06,2.5670128371184e-06,3.27656436371533e-06,3.01895057480539e-06,1.36581319122263e-06,1.93343757831496e-06,2.86548459082021e-06,3.14233749414276e-06,1.80679649149484e-06,1.58551763740803e-05,6.94969776287015e-06
"7",0.00171093309704502,0.00111407161947213,0.00147164994587119,0.00177272954379361,0.000770098834108074,0.00140766957006336,0.0679341292767984,0.00293654235554462,0.00294231219212639,0.00130360987478213,0.00141213662918828,0.00136572122939478,0.0017398700475565,0.00165562408653568,0.00085405149038774,0.000962677556393813,0.00092976983786865,0.00294200226139224,0.00234103655648473,0.00184344854922368,0.0018850178360963,0.00098454223670765,0.0014041990124761,0.00498484895836905,0.000902896571583997,0.00250196319594948,0.000761350257501688,0.00180843912347051,0.00185291544790787,0.00150248262821973,0.000829765636343176,0.00101229002600915,0.000830077478016197,0.00207183356296198,0.00131591486542715,0.00144272263150856,0.00110750160922819,0.00108665707919677,0.00337676636993274
"8",1.29554732690448e-07,4.02762786746133e-07,6.00394382164217e-07,2.23134672960728e-06,3.65483127487636e-07,6.83574782920928e-08,1.96275942336795e-07,0.00610384413665601,7.11633131732027e-07,5.33221846408682e-07,5.30927711676155e-07,1.33630188590171e-07,1.94864685420134e-06,2.01021271134598e-07,1.3330178361283e-07,4.80886489532106e-07,5.33123279175725e-06,8.67069218576379e-07,1.03589264896562e-07,8.65351674590074e-08,3.40755237695387e-07,2.35181462099728e-07,1.21609248984681e-07,1.29010448991284e-07,1.92933988548652e-06,3.94076210959011e-07,7.6941188436607e-06,3.69806787889466e-08,3.28861764350633e-07,6.11435292380101e-07,1.33380687891501e-07,1.26037066488442e-06,1.23358203561004e-06,1.36643887613157e-06,4.81997522575467e-07,7.02968034129195e-07,1.84584163115219e-07,5.47030242764111e-08,7.05355652594586e-07
"9",1.68679910010009e-06,5.10065195888737e-05,1.70477105719791e-05,3.19426147884124e-05,1.55077668257044e-06,1.64895138320279e-06,2.88821632800344e-06,3.88515855186183e-06,0.00426869560144103,3.31508193418107e-05,1.0199756119107e-05,6.69560707503657e-06,1.6962367449411e-05,1.09843579666073e-05,7.48589089921086e-06,7.49995331595129e-06,4.27099910874052e-06,6.62427338189349e-05,1.68126192681723e-06,2.51650733271548e-06,7.66027420397914e-06,8.65958083686808e-06,9.54441062928086e-07,2.87890778513566e-06,1.75215886777217e-05,1.20967418453104e-05,1.67776286642819e-05,1.75388644128804e-06,8.72944272538131e-06,4.24679475383238e-05,5.2343005588792e-06,2.47288355265939e-05,6.97682019271791e-06,0.000207857827393115,3.70877015214212e-05,1.21273868021062e-05,5.73186318552014e-06,1.20989377946417e-06,7.94741976103174e-06
"10",1.41876783552063e-05,0.000194389326449675,0.00013150514361912,8.45099250484452e-05,1.80290197655104e-05,1.71172782306999e-05,3.84737496423005e-05,4.09107410614294e-05,0.000212323815208394,0.00212611159329483,0.000101536182420336,5.05574593371299e-05,8.58715291261827e-05,7.20389102651529e-05,5.69503084022271e-05,4.15771169641735e-05,4.24436246064535e-05,0.000203203911178176,1.81942040960913e-05,1.5754487580428e-05,5.17065490741558e-05,5.30923519586731e-05,9.09521380492833e-06,3.27798556105818e-05,6.43507213490794e-05,0.000154857573349077,6.36749359646388e-05,2.1113723736022e-05,8.63218540597264e-05,0.000125993248276481,5.55105523026695e-05,7.52315279817532e-05,2.70444934049743e-05,0.000176964275774749,0.000124700352729283,7.67382105721304e-05,3.57240899827426e-05,1.18832956127758e-05,6.08460358694015e-05
