,2008
AUS,74142
AUT,98740
BEL,93969
BGR,4155
BRA,323568
CAN,260097
CHN,84835
CYP,2115
CZE,71281
DEU,1063150
DNK,49166
ESP,802778
EST,3440
FIN,59350
FRA,706674
GBR,155088
GRC,15203
HUN,23307
IND,5153
IRL,6959
ITA,499210
JPN,118023
LTU,3100
LUX,10617
LVA,1544
MEX,508952
MLT,4023
NLD,49166
POL,97392
PRT,170582
ROM,4863
RUS,55760
SVK,12524
SVN,38797
SWE,28327
USA,1078140
ZRoW,600022
