"","V1"
"AUS",7092.88371531111
"AUT",2889.12363862116
"BEL",4009.13705149342
"BGR",2922.56281027906
"BRA",21486.0142038333
"CAN",9294.04733511892
"CHN",297017.962201279
"CYP",371.248054615145
"CZE",2420.41292988081
"DEU",26350.5313965199
"DNK",2372.73928979976
"ESP",13573.5399336822
"EST",319.662464825862
"FIN",2075.72940910558
"FRA",16376.9392447303
"GBR",20864.0996198053
"GRC",4777.68080312955
"HUN",2126.75433704348
"IDN",19702.9451228248
"IND",135874.274568359
"IRL",1645.60235494121
"ITA",17534.7658885319
"JPN",41779.7870664995
"KOR",17501.9178799366
"LTU",844.336224461829
"LUX",258.033637810788
"LVA",870.916563090183
"MEX",14392.7191692296
"NLD",7400.10300218416
"POL",7259.07128266537
"PRT",3028.90511302023
"ROM",6174.35023085447
"RUS",52442.5876865197
"SVK",1127.76855929877
"SVN",508.175939492274
"SWE",3064.98076218838
"TUR",21039.7865583875
"USA",108220.677932049
"ZRoW",280713.047835541
